  _real,_time |   _totl,_time |   missn,_time |   timer,_time |   _zulu,_time |   local,_time |   hobbs,_time |   _Vind,_kias |   _Vind,_keas |   Vtrue,_ktas |   Vtrue,_ktgs |   _Vind,__mph |   Vtrue,mphas |   Vtrue,mphgs |   _elev,yoke1 |   ailrn,yoke1 |   ruddr,yoke1 |   _vect,_rqst |   sweep,_rqst |   incid,_rqst |   dihed,_rqst |   retra,_rqst |   water,jetts |   _elev,_surf |   ailrn,_surf |   ruddr,_surf |   nwhel,steer |   _trim,_elev |   _trim,ailrn |   _trim,ruddr |   _flap,handl |   _flap,postn |   _slat,ratio |   sbrak,handl |   sbrak,postn |   pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag |   alpha,__deg |   _beta,__deg |   hpath,__deg |   vpath,__deg |   _slip,__deg |   __lat,__deg |   __lon,__deg |   __alt,ftmsl |   __alt,ftagl |   ___on,runwy |   __alt,__ind |   __lat,orign |   __lon,orign |     _throttle |       smthddd |
    147.17558 |       0.05025 |       0.05025 |       0.00000 |      20.28640 |      12.28640 |       5.81639 |      87.64757 |      85.97574 |      88.28397 |      90.14552 |     100.86302 |     101.59539 |     103.73853 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.00723 |       0.00842 |       0.00512 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.01105 |      -0.21914 |     179.64911 |     164.29376 |       0.25563 |       0.34916 |     179.65866 |      -0.24001 |       0.01488 |      47.52050 |    -122.30811 |    1799.97998 |    1787.50403 |       0.00000 |    1800.00659 |      47.50000 |    -122.00000 |       0.60000 |       1.00000 | 
    293.85605 |       0.10050 |       0.10050 |       0.00000 |      20.28642 |      12.28642 |       5.81641 |      87.62797 |      86.11749 |      88.42949 |      90.28988 |     100.84047 |     101.76285 |     103.90604 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.02459 |       0.00865 |       0.00535 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.09689 |      -0.23219 |     179.64081 |     164.28546 |       0.48466 |       0.33593 |     179.66389 |      -0.38027 |       0.03760 |      47.52048 |    -122.30811 |    1799.93347 |    1787.46301 |       0.00000 |    1800.00659 |      47.50000 |    -122.00000 |       0.60000 |       1.00000 | 
    293.98639 |       0.20101 |       0.20101 |       0.00000 |      20.28645 |      12.28644 |       5.81644 |      87.55978 |      86.36797 |      88.68655 |      90.54482 |     100.76199 |     102.05867 |     104.20190 |      -0.01606 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.06395 |       0.00865 |       0.00566 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.35644 |      -0.25821 |     179.61455 |     164.25922 |       0.91563 |       0.30223 |     179.67230 |      -0.54817 |       0.07320 |      47.52044 |    -122.30811 |    1799.80054 |    1787.34106 |       0.00000 |    1800.00427 |      47.50000 |    -122.00000 |       0.60000 |       1.00000 | 
    294.11783 |       0.30151 |       0.30151 |       0.00000 |      20.28647 |      12.28647 |       5.81646 |      87.47311 |      86.57833 |      88.90237 |      90.76024 |     100.66225 |     102.30702 |     104.45030 |      -0.17037 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.21445 |       0.00867 |       0.00585 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.59752 |      -0.28543 |     179.58025 |     164.22493 |       1.18522 |       0.26331 |     179.67769 |      -0.57608 |       0.09812 |      47.52039 |    -122.30811 |    1799.64587 |    1787.19727 |       0.00000 |    1799.99597 |      47.50000 |    -122.00000 |       0.60000 |       1.00000 | 
    294.18335 |       0.35176 |       0.35176 |       0.00000 |      20.28649 |      12.28649 |       5.81648 |      87.42823 |      86.67033 |      88.99673 |      90.85493 |     100.61061 |     102.41561 |     104.55891 |      -0.22398 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.25756 |       0.00869 |       0.00592 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.63860 |      -0.29963 |     179.56108 |     164.20576 |       1.20560 |       0.24257 |     179.67924 |      -0.55577 |       0.10741 |      47.52037 |    -122.30811 |    1799.57043 |    1787.12744 |       0.00000 |    1799.98865 |      47.50000 |    -122.00000 |       0.60000 |       1.00000 | 
    294.33221 |       0.45226 |       0.45226 |       0.00000 |      20.28652 |      12.28652 |       5.81650 |      87.34237 |      86.83474 |      89.16536 |      91.02422 |     100.51181 |     102.60966 |     104.75301 |      -0.33356 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.34339 |       0.00873 |       0.00610 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.52452 |      -0.32938 |     179.51836 |     164.16306 |       1.04862 |       0.19788 |     179.68027 |      -0.51365 |       0.12147 |      47.52033 |    -122.30811 |    1799.42810 |    1786.99585 |       0.00000 |    1799.96655 |      47.50000 |    -122.00000 |       0.60000 |       1.00000 | 
    294.46899 |       0.55276 |       0.55276 |       0.00000 |      20.28654 |      12.28654 |       5.81653 |      87.26767 |      86.98197 |      89.31637 |      91.17491 |     100.42584 |     102.78345 |     104.92677 |      -0.38296 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.36788 |       0.00879 |       0.00631 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.11088 |      -0.36117 |     179.46918 |     164.11388 |       0.65541 |       0.14793 |     179.67857 |      -0.53348 |       0.13014 |      47.52029 |    -122.30811 |    1799.28857 |    1786.86731 |       0.00000 |    1799.93372 |      47.50000 |    -122.00000 |       0.60000 |       1.00000 | 
    294.60373 |       0.65327 |       0.65327 |       0.00000 |      20.28657 |      12.28657 |       5.81656 |      87.20841 |      87.12311 |      89.46109 |      91.31699 |     100.35765 |     102.94999 |     105.09319 |      -0.38066 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.34665 |       0.00886 |       0.00650 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.50372 |      -0.39518 |     179.41371 |     164.05843 |       0.19407 |       0.09360 |     179.67418 |      -0.68337 |       0.13289 |      47.52024 |    -122.30811 |    1799.12207 |    1786.71155 |       0.00000 |    1799.89014 |      47.50000 |    -122.00000 |       0.60000 |       1.00000 | 
    294.73630 |       0.75377 |       0.75377 |       0.00000 |      20.28660 |      12.28660 |       5.81659 |      87.16649 |      87.26468 |      89.60621 |      91.45544 |     100.30941 |     103.11698 |     105.25994 |      -0.38066 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.33535 |       0.00892 |       0.00656 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -1.19991 |      -0.43124 |     179.35599 |     164.00070 |      -0.21544 |       0.03975 |     179.66696 |      -0.96390 |       0.12764 |      47.52020 |    -122.30811 |    1798.89221 |    1786.49268 |       0.00000 |    1799.83484 |      47.50000 |    -122.00000 |       0.60000 |       1.00000 | 
    294.86804 |       0.85427 |       0.85427 |       0.00000 |      20.28663 |      12.28663 |       5.81662 |      87.14245 |      87.41096 |      89.75604 |      91.59247 |     100.28174 |     103.28941 |     105.43195 |      -0.38152 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.33069 |       0.00898 |       0.00648 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -1.90384 |      -0.46881 |     179.30159 |     163.94632 |      -0.52585 |      -0.00799 |     179.65729 |      -1.34911 |       0.11357 |      47.52016 |    -122.30810 |    1798.56750 |    1786.17908 |       0.00000 |    1799.76624 |      47.50000 |    -122.00000 |       0.60000 |       1.00000 | 
    294.99985 |       0.95477 |       0.95477 |       0.00000 |      20.28665 |      12.28665 |       5.81664 |      87.13611 |      87.56480 |      89.91351 |      91.72913 |     100.27444 |     103.47062 |     105.61255 |      -0.37704 |      -0.00068 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.32422 |       0.00834 |       0.00625 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -2.57581 |      -0.50821 |     179.25578 |     163.90053 |      -0.72963 |      -0.04455 |     179.64558 |      -1.80754 |       0.09106 |      47.52012 |    -122.30810 |    1798.12463 |    1785.71924 |       0.00000 |    1799.68005 |      47.50000 |    -122.00000 |       0.60000 |       1.00000 | 
