  _real,_time |   _totl,_time |   missn,_time |   timer,_time |   _zulu,_time |   local,_time |   hobbs,_time |   _Vind,_kias |   _Vind,_keas |   Vtrue,_ktas |   Vtrue,_ktgs |   _Vind,__mph |   Vtrue,mphas |   Vtrue,mphgs |   _elev,yoke1 |   ailrn,yoke1 |   ruddr,yoke1 |   _vect,_rqst |   sweep,_rqst |   incid,_rqst |   dihed,_rqst |   retra,_rqst |   water,jetts |   _elev,_surf |   ailrn,_surf |   ruddr,_surf |   nwhel,steer |   _trim,_elev |   _trim,ailrn |   _trim,ruddr |   _flap,handl |   _flap,postn |   _slat,ratio |   sbrak,handl |   sbrak,postn |   pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag |   alpha,__deg |   _beta,__deg |   hpath,__deg |   vpath,__deg |   _slip,__deg |   __lat,__deg |   __lon,__deg |   __alt,ftmsl |   __alt,ftagl |   ___on,runwy |   __alt,__ind |   __lat,orign |   __lon,orign |     _throttle |       smthddd |
    460.51001 |       0.05025 |       0.05025 |       0.00000 |      20.28640 |      12.28640 |       5.55852 |      87.64757 |      85.98096 |      88.28931 |      90.14696 |     100.86302 |     101.60153 |     103.73981 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.01690 |       0.00842 |       0.00512 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00215 |      -0.21910 |     179.64905 |     164.29370 |       0.60968 |       0.34908 |     179.65849 |      -0.18700 |       0.01292 |      47.52049 |    -122.30809 |    1799.96887 |    1787.53235 |       0.00000 |    1799.98999 |      47.50000 |    -122.00000 |       0.60000 |       1.00000 | 
    472.72717 |       0.15075 |       0.15075 |       0.00000 |      20.28643 |      12.28643 |       5.55855 |      87.59758 |      86.25555 |      88.57121 |      90.42772 |     100.80550 |     101.92593 |     104.06424 |      -0.23238 |      -0.00925 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.25704 |      -0.00039 |       0.00556 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.11804 |      -0.25096 |     179.62820 |     164.27287 |       0.79166 |       0.31897 |     179.66791 |      -0.34361 |       0.05115 |      47.52045 |    -122.30809 |    1799.88965 |    1787.46399 |       0.00000 |    1799.98926 |      47.50000 |    -122.00000 |       0.60000 |       1.00000 | 
    472.85867 |       0.25126 |       0.25126 |       0.00000 |      20.28646 |      12.28646 |       5.55858 |      87.51790 |      86.48708 |      88.80882 |      90.66547 |     100.71380 |     102.19936 |     104.33888 |      -0.35008 |      -0.02946 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.35537 |      -0.01950 |       0.00590 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.03457 |      -0.32514 |     179.59428 |     164.23897 |       0.70048 |       0.27855 |     179.67418 |      -0.42908 |       0.07963 |      47.52041 |    -122.30808 |    1799.78333 |    1787.36853 |       0.00000 |    1799.98572 |      47.50000 |    -122.00000 |       0.60000 |       1.00000 | 
    472.98694 |       0.35176 |       0.35176 |       0.00000 |      20.28649 |      12.28649 |       5.55860 |      87.42943 |      86.69016 |      89.01719 |      90.87306 |     100.61199 |     102.43916 |     104.57987 |      -0.35008 |      -0.02946 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.33685 |      -0.01907 |       0.00624 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.27865 |      -0.42280 |     179.54820 |     164.19289 |       0.42615 |       0.22841 |     179.67688 |      -0.56128 |       0.10223 |      47.52037 |    -122.30808 |    1799.64734 |    1787.24341 |       0.00000 |    1799.97681 |      47.50000 |    -122.00000 |       0.60000 |       1.00000 | 
    473.15680 |       0.45226 |       0.45226 |       0.00000 |      20.28652 |      12.28652 |       5.55863 |      87.34539 |      86.87530 |      89.20710 |      91.06026 |     100.51528 |     102.65770 |     104.80000 |      -0.35869 |      -0.02349 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.33162 |      -0.01311 |       0.00654 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.73567 |      -0.52220 |     179.49159 |     164.13629 |       0.09502 |       0.17039 |     179.67564 |      -0.77978 |       0.11868 |      47.52032 |    -122.30808 |    1799.46130 |    1787.06836 |       0.00000 |    1799.95984 |      47.50000 |    -122.00000 |       0.60000 |       1.00000 | 
    473.28519 |       0.55276 |       0.55276 |       0.00000 |      20.28654 |      12.28654 |       5.55866 |      87.27372 |      87.05154 |      89.38779 |      91.23380 |     100.43281 |     102.86563 |     105.00854 |      -0.40361 |      -0.02349 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.36771 |      -0.01321 |       0.00672 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -1.29361 |      -0.61540 |     179.42885 |     164.07355 |      -0.19432 |       0.10969 |     179.67023 |      -1.07720 |       0.12681 |      47.52028 |    -122.30808 |    1799.20203 |    1786.82007 |       0.00000 |    1799.93176 |      47.50000 |    -122.00000 |       0.60000 |       1.00000 | 
    473.41418 |       0.65327 |       0.65327 |       0.00000 |      20.28657 |      12.28657 |       5.55869 |      87.21889 |      87.22635 |      89.56687 |      91.39941 |     100.36971 |     103.07172 |     105.21423 |      -0.36630 |      -0.01813 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.32144 |      -0.00792 |       0.00674 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -1.90321 |      -0.70585 |     179.36572 |     164.01044 |      -0.42342 |       0.05228 |     179.66089 |      -1.44948 |       0.12482 |      47.52024 |    -122.30808 |    1798.84937 |    1786.47827 |       0.00000 |    1799.88831 |      47.50000 |    -122.00000 |       0.60000 |       1.00000 | 
    473.54810 |       0.75377 |       0.75377 |       0.00000 |      20.28660 |      12.28660 |       5.55872 |      87.18314 |      87.40365 |      89.74838 |      91.55940 |     100.32857 |     103.28060 |     105.42244 |      -0.16927 |      -0.01340 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.12143 |      -0.00353 |       0.00659 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -2.38521 |      -0.78145 |     179.30699 |     163.95172 |      -0.44844 |       0.00469 |     179.64850 |      -1.89670 |       0.11271 |      47.52020 |    -122.30808 |    1798.38159 |    1786.02148 |       0.00000 |    1799.82458 |      47.50000 |    -122.00000 |       0.60000 |       1.00000 | 
    473.68011 |       0.85427 |       0.85427 |       0.00000 |      20.28663 |      12.28663 |       5.55874 |      87.16741 |      87.58237 |      89.93119 |      91.71657 |     100.31047 |     103.49097 |     105.63203 |      -0.16658 |      -0.01495 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.14127 |      -0.00508 |       0.00621 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -2.63198 |      -0.85539 |     179.25977 |     163.90450 |      -0.26405 |      -0.02502 |     179.63289 |      -2.31876 |       0.09329 |      47.52016 |    -122.30808 |    1797.79358 |    1785.44458 |       0.00000 |    1799.73364 |      47.50000 |    -122.00000 |       0.60000 |       1.00000 | 
    473.81259 |       0.95477 |       0.95477 |       0.00000 |      20.28665 |      12.28665 |       5.55877 |      87.17175 |      87.76006 |      90.11279 |      91.87354 |     100.31545 |     103.69996 |     105.84025 |      -0.19979 |      -0.01495 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.19032 |      -0.00507 |       0.00569 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -2.74144 |      -0.93071 |     179.23099 |     163.87573 |      -0.02491 |      -0.03201 |     179.61441 |      -2.66023 |       0.07288 |      47.52011 |    -122.30808 |    1797.10291 |    1784.73169 |       0.00000 |    1799.60779 |      47.50000 |    -122.00000 |       0.60000 |       1.00000 | 
    473.94321 |       1.05528 |       1.05528 |       0.00000 |      20.28668 |      12.28668 |       5.55880 |      87.19542 |      87.93526 |      90.29171 |      92.03116 |     100.34270 |     103.90585 |     106.04541 |      -0.23501 |      -0.01495 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.22960 |      -0.00513 |       0.00520 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -2.83939 |      -1.00496 |     179.22234 |     163.86710 |       0.14360 |      -0.01777 |     179.59424 |      -2.92162 |       0.05610 |      47.52007 |    -122.30808 |    1796.33215 |    1783.89478 |       0.00000 |    1799.43958 |      47.50000 |    -122.00000 |       0.60000 |       1.00000 | 
    474.07434 |       1.15578 |       1.15578 |       0.00000 |      20.28671 |      12.28671 |       5.55883 |      87.23714 |      88.10847 |      90.46849 |      92.18874 |     100.39071 |     104.10928 |     106.24817 |      -0.25440 |      -0.01495 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.24755 |      -0.00520 |       0.00483 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -2.98151 |      -1.07696 |     179.22987 |     163.87463 |       0.22114 |       0.01181 |     179.57362 |      -3.13748 |       0.04489 |      47.52003 |    -122.30808 |    1795.49695 |    1782.99353 |       0.00000 |    1799.22266 |      47.50000 |    -122.00000 |       0.60000 |       1.00000 | 
    474.20731 |       1.25628 |       1.25628 |       0.00000 |      20.28674 |      12.28674 |       5.55886 |      87.29538 |      88.28113 |      90.64462 |      92.34592 |     100.45773 |     104.31196 |     106.45020 |      -0.25769 |      -0.01495 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.24654 |      -0.00528 |       0.00463 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -3.18559 |      -1.14622 |     179.24791 |     163.89268 |       0.21907 |       0.04994 |     179.55350 |      -3.33630 |       0.03959 |      47.51999 |    -122.30808 |    1794.60474 |    1782.03516 |       0.00000 |    1798.95227 |      47.50000 |    -122.00000 |       0.60000 |       1.00000 | 
    474.34802 |       1.35678 |       1.35678 |       0.00000 |      20.28677 |      12.28677 |       5.55888 |      87.36853 |      88.45539 |      90.82230 |      92.50230 |     100.54192 |     104.51644 |     106.65398 |      -0.18211 |      -0.00573 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.16835 |       0.00365 |       0.00458 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -3.41201 |      -1.20730 |     179.26921 |     163.91399 |       0.20590 |       0.08972 |     179.53464 |      -3.54630 |       0.04066 |      47.51994 |    -122.30808 |    1793.65503 |    1781.01904 |       0.00000 |    1798.62512 |      47.50000 |    -122.00000 |       0.60000 |       1.00000 | 
    474.48029 |       1.45729 |       1.45729 |       0.00000 |      20.28679 |      12.28679 |       5.55891 |      87.45508 |      88.63196 |      91.00227 |      92.65857 |     100.64151 |     104.72355 |     106.86035 |      -0.06150 |       0.00079 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.06341 |       0.00951 |       0.00464 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -3.49769 |      -1.24006 |     179.28587 |     163.93066 |       0.34359 |       0.12667 |     179.51714 |      -3.76615 |       0.04741 |      47.51990 |    -122.30808 |    1792.64282 |    1779.94055 |       0.00000 |    1798.23901 |      47.50000 |    -122.00000 |       0.60000 |       1.00000 | 
    474.61102 |       1.55779 |       1.55779 |       0.00000 |      20.28682 |      12.28682 |       5.55894 |      87.55356 |      88.80721 |      91.18080 |      92.81923 |     100.75484 |     104.92900 |     107.06521 |      -0.06493 |       0.00079 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.08487 |       0.00930 |       0.00473 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -3.43706 |      -1.26195 |     179.29599 |     163.94080 |       0.56242 |       0.15883 |     179.49973 |      -3.92202 |       0.05858 |      47.51986 |    -122.30808 |    1791.57849 |    1778.80981 |       0.00000 |    1797.79224 |      47.50000 |    -122.00000 |       0.60000 |       1.00000 | 
    474.74335 |       1.65829 |       1.65829 |       0.00000 |      20.28685 |      12.28685 |       5.55897 |      87.66250 |      88.97840 |      91.35510 |      92.98374 |     100.88020 |     105.12959 |     107.26537 |      -0.07540 |       0.00002 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.10536 |       0.00844 |       0.00488 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -3.31370 |      -1.27942 |     179.29892 |     163.94373 |       0.76689 |       0.18389 |     179.48198 |      -4.00221 |       0.07275 |      47.51981 |    -122.30808 |    1790.48242 |    1777.64734 |       0.00000 |    1797.28418 |      47.50000 |    -122.00000 |       0.60000 |       1.00000 | 
    474.87897 |       1.75879 |       1.75879 |       0.00000 |      20.28688 |      12.28688 |       5.55899 |      87.78038 |      89.14405 |      91.52368 |      93.14992 |     101.01586 |     105.32358 |     107.45913 |      -0.11575 |      -0.00231 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.14540 |       0.00614 |       0.00510 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -3.20879 |      -1.29668 |     179.29355 |     163.93837 |       0.88727 |       0.19950 |     179.46367 |      -4.01789 |       0.08835 |      47.51977 |    -122.30808 |    1789.37390 |    1776.47229 |       0.00000 |    1796.71509 |      47.50000 |    -122.00000 |       0.60000 |       1.00000 | 
    474.98709 |       1.80905 |       1.80905 |       0.00000 |      20.28689 |      12.28689 |       5.55901 |      87.84221 |      89.22499 |      91.60603 |      93.23256 |     101.08701 |     105.41833 |     107.55379 |      -0.11950 |      -0.00313 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.14692 |       0.00537 |       0.00524 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -3.18041 |      -1.30656 |     179.28723 |     163.93205 |       0.91026 |       0.20304 |     179.45436 |      -4.01278 |       0.09633 |      47.51975 |    -122.30808 |    1788.81909 |    1775.88416 |       0.00000 |    1796.40820 |      47.50000 |    -122.00000 |       0.60000 |       1.00000 | 
    475.12701 |       1.90955 |       1.90955 |       0.00000 |      20.28692 |      12.28692 |       5.55904 |      87.97080 |      89.38400 |      91.76778 |      93.39563 |     101.23499 |     105.60448 |     107.73976 |      -0.11950 |      -0.00360 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.14210 |       0.00495 |       0.00556 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -3.16707 |      -1.32738 |     179.26591 |     163.91075 |       0.90678 |       0.20066 |     179.43544 |      -3.99647 |       0.11209 |      47.51970 |    -122.30807 |    1787.71130 |    1774.70947 |       0.00000 |    1795.75183 |      47.50000 |    -122.00000 |       0.60000 |       1.00000 | 
    475.26221 |       2.01005 |       2.01005 |       0.00000 |      20.28695 |      12.28695 |       5.55906 |      88.10496 |      89.54031 |      91.92675 |      93.55540 |     101.38938 |     105.78741 |     107.92252 |      -0.11818 |      -0.00360 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.13675 |       0.00497 |       0.00589 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -3.19437 |      -1.34821 |     179.23232 |     163.87717 |       0.86755 |       0.18590 |     179.41580 |      -3.98466 |       0.12654 |      47.51966 |    -122.30807 |    1786.60547 |    1773.53711 |       0.00000 |    1795.04163 |      47.50000 |    -122.00000 |       0.60000 |       1.00000 | 
    475.39395 |       2.11055 |       2.11055 |       0.00000 |      20.28698 |      12.28697 |       5.55909 |      88.24361 |      89.69492 |      92.08397 |      93.71215 |     101.54893 |     105.96835 |     108.10321 |      -0.11818 |      -0.00360 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.13408 |       0.00499 |       0.00619 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -3.24198 |      -1.36921 |     179.18716 |     163.83202 |       0.81930 |       0.16058 |     179.39503 |      -3.98366 |       0.13838 |      47.51962 |    -122.30807 |    1785.49939 |    1772.36401 |       0.00000 |    1794.28198 |      47.50000 |    -122.00000 |       0.60000 |       1.00000 | 
    475.52512 |       2.21106 |       2.21106 |       0.00000 |      20.28700 |      12.28700 |       5.55912 |      88.38581 |      89.84840 |      92.24004 |      93.86648 |     101.71258 |     106.14794 |     108.28252 |      -0.11818 |      -0.00360 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.13263 |       0.00502 |       0.00641 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -3.29581 |      -1.39088 |     179.13283 |     163.77769 |       0.77605 |       0.12784 |     179.37265 |      -3.99346 |       0.14654 |      47.51957 |    -122.30807 |    1784.38965 |    1771.18738 |       0.00000 |    1793.47766 |      47.50000 |    -122.00000 |       0.60000 |       1.00000 | 
    475.65793 |       2.31156 |       2.31156 |       0.00000 |      20.28703 |      12.28703 |       5.55915 |      88.53082 |      90.00116 |      92.39533 |      94.01897 |     101.87946 |     106.32666 |     108.46092 |      -0.10863 |      -0.00402 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.12318 |       0.00465 |       0.00654 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -3.34360 |      -1.41430 |     179.07271 |     163.71758 |       0.74801 |       0.09163 |     179.34833 |      -4.01215 |       0.15039 |      47.51953 |    -122.30807 |    1783.27393 |    1770.00476 |       0.00000 |    1792.63330 |      47.50000 |    -122.00000 |       0.60000 |       1.00000 | 
    475.72580 |       2.36181 |       2.36181 |       0.00000 |      20.28704 |      12.28705 |       5.55916 |      88.60417 |      90.07738 |      92.47282 |      94.09457 |     101.96386 |     106.41583 |     108.54990 |      -0.07893 |      -0.00402 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.09570 |       0.00467 |       0.00656 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -3.35314 |      -1.42656 |     179.04144 |     163.68633 |       0.75248 |       0.07355 |     179.33545 |      -4.02551 |       0.15065 |      47.51951 |    -122.30807 |    1782.71277 |    1769.41016 |       0.00000 |    1792.19739 |      47.50000 |    -122.00000 |       0.60000 |       1.00000 | 
