  _real,_time |   _totl,_time |   missn,_time |   timer,_time |   _zulu,_time |   local,_time |   hobbs,_time |   _Vind,_kias |   _Vind,_keas |   Vtrue,_ktas |   Vtrue,_ktgs |   _Vind,__mph |   Vtrue,mphas |   Vtrue,mphgs |   _elev,yoke1 |   ailrn,yoke1 |   ruddr,yoke1 |   _vect,_rqst |   sweep,_rqst |   incid,_rqst |   dihed,_rqst |   retra,_rqst |   water,jetts |   _elev,_surf |   ailrn,_surf |   ruddr,_surf |   nwhel,steer |   _trim,_elev |   _trim,ailrn |   _trim,ruddr |   _flap,handl |   _flap,postn |   _slat,ratio |   sbrak,handl |   sbrak,postn |   pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag |   alpha,__deg |   _beta,__deg |   hpath,__deg |   vpath,__deg |   _slip,__deg |   __lat,__deg |   __lon,__deg |   __alt,ftmsl |   __alt,ftagl |   ___on,runwy |   __alt,__ind |   __lat,orign |   __lon,orign |     _throttle |       smthddd |
    267.42825 |      22.36181 |      22.36181 |       0.00000 |      20.29260 |      12.29260 |       0.51823 |      91.08167 |      90.29267 |      92.47110 |      94.16526 |     104.81491 |     106.41384 |     108.56231 |      -0.10358 |       0.02014 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.12639 |       0.02573 |       0.00596 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -2.68776 |      -1.59381 |     180.25890 |     164.90575 |       0.84935 |       0.10172 |     180.50569 |      -3.46848 |       0.18631 |      47.51039 |    -122.30820 |    1620.02087 |    1481.43054 |       1.00000 |    1628.96033 |      47.50000 |    -122.00000 |       0.00000 |       1.00000 |
    267.55734 |      22.46231 |      22.46231 |       0.00000 |      20.29263 |      12.29263 |       0.51826 |      90.99757 |      90.21872 |      92.39404 |      94.08702 |     104.71814 |     106.32516 |     108.47330 |      -0.10399 |       0.00629 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.12649 |       0.01274 |       0.00591 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -2.67630 |      -1.52410 |     180.22154 |     164.86841 |       0.87168 |       0.09490 |     180.47559 |      -3.47880 |       0.18029 |      47.51035 |    -122.30820 |    1619.05127 |    1478.86450 |       1.00000 |    1628.06714 |      47.50000 |    -122.00000 |       0.00000 |       1.00000 | 
    267.68890 |      22.56281 |      22.56281 |       0.00000 |      20.29266 |      12.29266 |       0.51829 |      90.91455 |      90.14385 |      92.31602 |      94.00873 |     104.62260 |     106.23539 |     108.38319 |      -0.10157 |       0.00441 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.12369 |       0.01121 |       0.00584 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.33333 |       0.01256 |       0.00000 |       0.00000 |       0.00000 |      -2.67303 |      -1.47215 |     180.18719 |     164.83408 |       0.87655 |       0.08994 |     180.44641 |      -3.48013 |       0.17430 |      47.51030 |    -122.30820 |    1618.08081 |    1476.34558 |       1.00000 |    1627.16589 |      47.50000 |    -122.00000 |       0.00000 |       1.00000 | 
    267.82172 |      22.66332 |      22.66332 |       0.00000 |      20.29268 |      12.29268 |       0.51831 |      90.83249 |      90.06299 |      92.23189 |      93.92729 |     104.52817 |     106.13857 |     108.28612 |      -0.09904 |       0.00218 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.12071 |       0.00915 |       0.00576 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.33333 |       0.03769 |       0.00000 |       0.00000 |       0.00000 |      -2.67081 |      -1.42831 |     180.15598 |     164.80286 |       0.85064 |       0.08731 |     180.41740 |      -3.45240 |       0.16833 |      47.51026 |    -122.30820 |    1617.11572 |    1473.85522 |       1.00000 |    1626.25684 |      47.50000 |    -122.00000 |       0.00000 |       1.00000 | 
    267.89066 |      22.71357 |      22.71357 |       0.00000 |      20.29270 |      12.29270 |       0.51833 |      90.79175 |      90.01993 |      92.18714 |      93.88485 |     104.48128 |     106.08707 |     108.23454 |      -0.09904 |       0.00218 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.12046 |       0.00918 |       0.00572 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.33333 |       0.05025 |       0.00000 |       0.00000 |       0.00000 |      -2.66785 |      -1.40756 |     180.14154 |     164.78842 |       0.82989 |       0.08692 |     180.40298 |      -3.42911 |       0.16543 |      47.51023 |    -122.30820 |    1616.63770 |    1472.64563 |       1.00000 |    1625.79968 |      47.50000 |    -122.00000 |       0.00000 |       1.00000 | 
    267.96942 |      22.76382 |      22.76382 |       0.00000 |      20.29271 |      12.29271 |       0.51834 |      90.75114 |      89.97508 |      92.14056 |      93.84105 |     104.43455 |     106.03346 |     108.18082 |      -0.09904 |       0.00218 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.12026 |       0.00918 |       0.00568 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.33333 |       0.06281 |       0.00000 |       0.00000 |       0.00000 |      -2.66259 |      -1.38697 |     180.12784 |     164.77473 |       0.80593 |       0.08708 |     180.38869 |      -3.40043 |       0.16261 |      47.51022 |    -122.30820 |    1616.16370 |    1471.43982 |       1.00000 |    1625.34082 |      47.50000 |    -122.00000 |       0.00000 |       1.00000 | 
    268.04636 |      22.81407 |      22.81407 |       0.00000 |      20.29273 |      12.29273 |       0.51836 |      90.71059 |      89.92831 |      92.09202 |      93.79579 |     104.38789 |     105.97761 |     108.12489 |      -0.09904 |       0.00177 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.12015 |       0.00879 |       0.00565 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.33333 |       0.07538 |       0.00000 |       0.00000 |       0.00000 |      -2.65423 |      -1.36667 |     180.11481 |     164.76170 |       0.77997 |       0.08778 |     180.37451 |      -3.36675 |       0.15991 |      47.51019 |    -122.30820 |    1615.69446 |    1470.23511 |       1.00000 |    1624.88037 |      47.50000 |    -122.00000 |       0.00000 |       1.00000 | 
    268.19241 |      22.91457 |      22.91457 |       0.00000 |      20.29276 |      12.29275 |       0.51838 |      90.62944 |      89.82867 |      91.98870 |      93.70031 |     104.29450 |     105.85871 |     108.00588 |      -0.10109 |       0.00134 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.12218 |       0.00838 |       0.00557 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.33333 |       0.10050 |       0.00000 |       0.00000 |       0.00000 |      -2.62570 |      -1.32707 |     180.09064 |     164.73755 |       0.72525 |       0.09065 |     180.34657 |      -3.28512 |       0.15491 |      47.51015 |    -122.30820 |    1614.77283 |    1467.80505 |       1.00000 |    1623.95593 |      47.50000 |    -122.00000 |       0.00000 |       1.00000 | 
    268.32468 |      23.01508 |      23.01508 |       0.00000 |      20.29278 |      12.29278 |       0.51841 |      90.54765 |      89.72031 |      91.87649 |      93.59745 |     104.20038 |     105.72958 |     107.87668 |      -0.10109 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.12248 |       0.00709 |       0.00551 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.33333 |       0.12563 |       0.00000 |       0.00000 |       0.00000 |      -2.57872 |      -1.28922 |     180.06860 |     164.71552 |       0.67026 |       0.09510 |     180.31927 |      -3.18517 |       0.15060 |      47.51011 |    -122.30820 |    1613.87817 |    1465.40332 |       1.00000 |    1623.02820 |      47.50000 |    -122.00000 |       0.00000 |       1.00000 | 
    268.45871 |      23.11558 |      23.11558 |       0.00000 |      20.29281 |      12.29281 |       0.51844 |      90.46455 |      89.60242 |      91.75458 |      93.48622 |     104.10474 |     105.58929 |     107.73633 |      -0.09989 |      -0.00008 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.12208 |       0.00703 |       0.00546 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.33333 |       0.15075 |       0.00000 |       0.00000 |       0.00000 |      -2.50887 |      -1.25273 |     180.04823 |     164.69516 |       0.61938 |       0.10073 |     180.29269 |      -3.06686 |       0.14707 |      47.51006 |    -122.30820 |    1613.01538 |    1463.17896 |       1.00000 |    1622.09888 |      47.50000 |    -122.00000 |       0.00000 |       1.00000 | 
